
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-01-02 00:35:44 /build/assets/app-CUX2WCzB.css ............... ~ 0.14ms
  2026-01-02 00:35:44 /build/assets/index-Byd3T-vP.js .............. ~ 0.71ms
  2026-01-02 00:35:44 /build/assets/index-B-FZfsbN.js .............. ~ 3.32ms
  2026-01-02 00:35:44 /build/assets/app-Byq5cHkK.js ................ ~ 5.63ms
  2026-01-02 00:35:44 /build/assets/app-layout-DoVka_o4.js ......... ~ 8.23ms
  2026-01-02 00:35:44 /build/assets/app-logo-icon-CdXyYFDW.js ...... ~ 9.35ms
  2026-01-02 00:35:44 /build/assets/card-DVmU2uN7.js .............. ~ 10.02ms
  2026-01-02 00:35:44 /build/assets/table-BQlvsMRp.js .............. ~ 0.19ms
  2026-01-02 00:35:44 /build/assets/index-B8UnbaA4.js .............. ~ 3.13ms
  2026-01-02 00:35:44 /build/assets/index-BMbgfskH.js .............. ~ 5.31ms
  2026-01-02 00:35:44 /build/assets/index-C4J_hXM0.js ............ ~ 508.22ms
  2026-01-02 00:35:44 /build/assets/app-CUX2WCzB.css ............... ~ 0.17ms
  2026-01-02 00:35:44 /tournaments/create .......................... ~ 0.08ms
  2026-01-02 00:35:44 /_debugbar/open .............................. ~ 0.08ms
  2026-01-02 00:35:44 /build/assets/create-D9IlLp_v.js ............. ~ 0.11ms
  2026-01-02 00:35:44 /build/assets/input-uHhCeZjS.js .............. ~ 2.03ms
  2026-01-02 00:35:44 /build/assets/label-DmtiNZv1.js .............. ~ 4.04ms
  2026-01-02 00:35:44 /tournaments ................................. ~ 0.23ms
  2026-01-02 00:35:44 /tournaments/2 ............................... ~ 0.09ms
  2026-01-02 00:35:44 /_debugbar/open .............................. ~ 0.11ms
  2026-01-02 00:35:44 /build/assets/show-BijvG01s.js ............... ~ 8.03ms
  2026-01-02 00:35:44 /build/assets/index-BTnTwbC_.js ............. ~ 10.37ms
  2026-01-02 00:35:45 /matches ..................................... ~ 0.08ms
  2026-01-02 00:35:45 /tournaments/2 ............................... ~ 0.09ms
  2026-01-02 00:35:45 /_debugbar/open .............................. ~ 0.14ms
